"","Tauro-a-Muricholic acid","Tauroursodeoxycholic acid","Taurocholic acid","Glycoursodeoxycholic acid","Glycohyodeoxycholic acid","Glycocholic acid","Taurochenodeoxycholic acid","Taurodeoxycholic acid","Cholic acid","Ursodeoxycholic acid","Glycochenodeoxycholic acid","Glycodeoxycholic acid","Taurolithocholic acid","Chenodeoxycholic acid","Deoxycholic acid","Glycolithocholic acid","Lithocholic acid","Tyrosocholic acid","Phenylalanocholic acid","Leucholic acid","Ala-triHydroxylated BA","Arg-dihydroxylated BA","Arg-triHydroxylated BA","Asn-dihydroxylated BA 1","Asn-dihydroxylated BA 2","Asn-triHydroxylated BA","Cys-dihydroxylated BA","Cys-triHydroxylated BA","Gln-dihydroxylated BA","Gln-triHydroxylated BA","Glu-dihydroxylated BA","Glu-triHydroxylated BA","His-triHydroxylated BA","Lys-dihydroxylated BA","Lys-triHydroxylated BA","Met-triHydroxylated BA","Phe-dihydroxylated BA","Ser-dihydroxylated BA","Ser-triHydroxylated BA","Trp-triHydroxylated BA","Tyr-dihydroxylated BA"
"63",50.05,30.52,606.89,9.31,0.49,151.92,205.73,133.34,140929.73,5674.02,174.79,62.75,0.66,44833.78,31925.8,0.09,0.06,129.77,100.97,32.76,0.01,0,14.78,0.01,10.14,17.79,16.77,0.01,0,15.38,298.81,195.59,0.01,27.48,56.51,0.01,6.25,9.63,0,14.28,16.18
"64",45.49,61.49,792.61,9.92,12.06,119.01,210.03,163.79,157918.59,9663.38,106.84,54.6,0.01,38007.83,32399.76,0.05,164.57,96.25,81.19,28.92,6.47,13.08,11.31,0.01,0.01,0,0.01,0.01,0,0.01,397.28,181.9,0.01,0.01,0,0.01,4.18,27.52,0,0.01,7.76
"65",104.46,80.49,747.16,3.11,0.03,37.59,66.77,429.14,113167.58,12558.9,7.79,22.85,14.15,7572.05,54696.8,0.01,1126.38,42.61,295.2,164.79,17.94,92.7,35.01,0.01,111.08,136.13,8.01,0.01,147.41,100.61,758.36,282.06,67.66,13.98,23.74,25.61,17.15,6.27,0,17.8,19.05
"66",73.88,23.93,598.69,44.23,0.09,489.98,190.07,191.18,67093.65,3680.8,518.18,234.44,6.43,17074.88,26678.55,0.9,43.53,0.25,0.29,0.07,7.01,25.89,0,0.01,31.78,0,8.55,0.01,12.09,18.08,425.38,81.22,0.01,0.01,0,0.01,0.01,0,0,0.01,19.1
"67",259.97,6416.98,447100.75,42855.25,19.9,1066714.62,280260.35,85647.94,984.94,0.1,1424414.56,350612.71,2892.3,1160.59,106.03,1857.14,205.25,0.78,0.21,0.95,63.89,0,0,0.01,0.01,15.61,39.26,22.66,0,0.01,0,0.01,0.01,0.01,0,0.01,0.01,256.22,324.92,0.01,0.01
"68",32.45,583.77,46894.1,1150.89,6.96,46822.12,15460.87,4006.01,130.15,101.07,14595.33,2512.16,40.51,0.09,0.09,17.66,226.17,0.27,0.64,0.11,0.01,0,0,0.01,0.01,0,5.49,0.01,0,0.01,7.64,0.01,0.01,0.01,0,0.01,0.01,0,0,0.01,0.01
"69",139.17,111.49,38887.99,68.01,3.89,946.7,520.43,556.1,354481.33,9079.32,867.89,223.09,4.83,95973.13,42092.35,0.05,184.76,54.75,19.82,0.54,9.13,20.29,67.45,0.01,186.54,15.76,0.01,0.01,687.78,114.88,614.37,153.24,0.01,18.39,91.35,0.01,12.89,37.22,97.99,0.01,17.27
"70",96.5,18.46,338.88,0.19,0.28,39.89,13.48,101.08,2718.01,5808.16,32.02,12.82,9.76,665.65,31808.45,0.01,656.54,13.05,0.84,0.77,0.01,7.91,0,0.01,0.01,0,13.38,0.01,0,0.01,338.52,97.6,0.01,0.01,0,0.01,0.01,6.17,0,0.01,17.62
"71",810.66,23453.27,958487.35,44677.04,15.8,1184209.03,499939.98,166490.66,365425.28,4898.66,662905.24,298627.8,5804.58,121906.06,42532.66,908.61,555.82,647.81,373.43,34.81,181.32,3422.54,2245.19,21.34,0.01,284.14,247.57,28.55,0,8.6,0,0.01,11.21,185.07,616.33,0.01,16.2,464.49,633.23,28.38,213.71
"72",296.49,8715.4,356372.37,4777.09,9.22,61414.73,139172.89,50083.39,566515.64,6778.44,16424,8710.64,2116.07,197496.99,67504.93,209.69,0.06,19.16,4.96,0.18,9.66,218.9,250.11,13.53,17.2,78.04,28.79,0.01,51.35,0.01,17.93,0.01,0.01,0.01,0,0.01,0.01,144.25,147.21,0.01,12.01
"73",384.17,12005.28,221218.98,3951.59,6.66,77153.7,124405.47,41428.17,758033.96,11741.84,37424.31,12264.6,2237.23,271549.96,110928.11,274.49,1144.26,647.83,295.35,97.4,52,121.81,317.42,0.01,0.01,212.82,59.69,0.01,0,6.6,0,5.04,0.01,334.87,544.79,0.01,56.14,246.14,303.68,70.19,207.93
