"","Tauro-a-Muricholic acid","Tauroursodeoxycholic acid","Taurocholic acid","Glycoursodeoxycholic acid","Glycohyodeoxycholic acid","Glycocholic acid","Taurochenodeoxycholic acid","Taurodeoxycholic acid","Cholic acid","Ursodeoxycholic acid","Glycochenodeoxycholic acid","Glycodeoxycholic acid","Taurolithocholic acid","Chenodeoxycholic acid","Deoxycholic acid","Glycolithocholic acid","Lithocholic acid","Tyrosocholic acid","Phenylalanocholic acid","Leucholic acid","Ala-triHydroxylated BA","Arg-dihydroxylated BA","Arg-triHydroxylated BA","Asn-dihydroxylated BA 1","Asn-dihydroxylated BA 2","Asn-triHydroxylated BA","Cys-dihydroxylated BA","Cys-triHydroxylated BA","Gln-dihydroxylated BA","Gln-triHydroxylated BA","Glu-dihydroxylated BA","Glu-triHydroxylated BA","His-triHydroxylated BA","Lys-dihydroxylated BA","Lys-triHydroxylated BA","Met-triHydroxylated BA","Phe-dihydroxylated BA","Ser-dihydroxylated BA","Ser-triHydroxylated BA","Trp-triHydroxylated BA","Tyr-dihydroxylated BA"
"172",0.54,0.1,10.01,176.09,37.13,13807.91,0.05,0.05,1439071.22,10215.97,9060.67,4375.51,1.7,461279,379515.45,47.32,2112,1205.4,731.71,42.71,692.93,60.23,16.52,157.6,115.84,476,0.01,17.78,306.56,88.13,742.82,367.14,16.9,52.82,308.93,149.76,131.96,612.88,2665.04,171.34,285.72
"173",0.15,0.17,3.98,0.19,12.58,46.21,4.97,0.01,695396.24,9679.91,26.06,6.19,3.38,87793.25,89743.84,0.05,570.98,412.68,197.41,11.61,52.4,8.55,0,0.01,87.49,60.84,22.92,0.01,24.83,10.91,498.48,315.21,0.01,0.01,71.37,131.48,24.99,93.94,481.97,22.46,130.29
"174",3.37,8.13,1011.97,0.01,0,89.47,55.66,84.29,484586.6,6135.77,57.59,15.16,4.54,34116.65,54291.36,0.09,1391.6,272.71,97.4,10.34,145.87,0,0,8.08,90.72,118.98,1.39,7.24,34.42,17.01,333.56,146.73,12.72,13.4,126.9,54.08,0.01,157.05,912.69,28.53,40.32
"175",0.67,134.66,1681.97,333.65,13.98,2514.73,435,4.48,213611.11,33945.05,1844.87,5.53,4.94,152568.55,141.69,0.15,4051.58,1118.72,489.36,215.19,25.27,390.9,70.25,0.01,0.01,937.65,87.08,248.92,122.85,116.3,0,50.19,251.11,80.74,782.69,42.3,27.93,70.87,417.58,23.15,82.9
"176",73.72,2129.42,94129.28,1041.63,0.37,4422.2,6387.01,17.88,842828.74,109417.74,6526.68,33.29,2.29,426392.99,1223.6,0.05,577.06,1383.8,622.85,126.18,355.3,908.02,214.41,132.46,95.47,670.93,22.66,78.38,737.44,235.64,420.14,283.94,91.07,202.59,730.86,15,175.25,292.11,271.07,86.95,314.02
"177",14.83,1038.48,2494.81,0.1,1.58,999.81,1222.16,145.32,258012.8,88261.98,405.41,173.22,8.37,121990.88,1134.4,3.62,6196.24,337.27,432.55,127.33,365.1,0,0,0.01,64.5,238.13,29.89,0.01,362.77,337.39,215.55,317.13,99.19,64.37,0,24.32,51.1,355.45,38.14,10.72,175.78
"178",13.13,118.03,289.4,4.72,0.03,67.76,69.11,0.02,68920.67,30816.29,11.94,3.27,4.18,20835,58.82,0.05,0.01,120.18,173.99,58.61,99.53,0,5.94,0.01,9.66,102.77,9.66,0.01,8.18,113.79,37.96,123.04,61.06,0.01,0,8.05,6.73,170.96,0,12.59,79.59
"179",0.45,231.42,26359.84,467.41,0.12,3525.33,483.88,7.75,84470.27,17929.06,2225.94,3.78,6.94,32095.36,197.9,0.09,156.28,243.19,72.73,0.98,84.44,0,74.24,129.84,36.04,853.1,14.55,107.81,101.23,21.99,12.52,106.54,8.2,0.01,65.74,0.01,0.01,174.92,341.49,0.01,9.46
"180",0.01,1361.54,7944.23,1490.93,0.38,8749.38,3883.96,16.65,536950.58,37672.24,8397.77,27.56,0.03,162905.93,487.24,0.03,282.23,731.73,463.32,76.35,157.28,0,26.09,334.95,136.84,1063.53,21.56,213.64,239.36,78.85,95.98,46.1,21.52,4.99,71.21,58.42,19.24,107.35,139.39,111.29,95.4
"181",11.04,1073.4,8414.41,1513.18,1.3,8054.6,2905.37,37.37,429352.3,39012.27,6796.53,70.6,5.56,152398.45,542.36,0.11,1462.54,515.34,368.94,55.73,217.26,0,24.57,204.8,57.14,923.33,17.25,119.2,147.81,74.07,67.19,125.69,41.88,7.03,174.56,14.51,28.7,56.56,235.28,106.1,37.04
"182",40.99,1631.13,13420.06,1229.85,0.81,2864.47,3903.32,30.95,553298.28,132108.2,7123.09,27.92,0.06,452995.81,1201.49,0,11456.08,656.25,375.99,98.9,263.19,426.48,250.9,160.09,349.04,508.84,76.69,146.95,947.82,204.17,350.67,110.16,51.03,230.21,542.74,131.51,96.49,293.29,306.46,8.49,294.3
"183",3.4,23.35,1652.54,84.52,0.05,2859.84,806.52,752.54,5659.6,713.72,2555.96,1697.46,15.21,1759.36,395.11,0.18,275.65,0.43,0.72,0.06,0.01,0,0,0.01,0.01,0,0.01,0.01,0,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0,54.66,0.01,0.01
"184",10.44,974.1,33939.46,1316.06,1.67,10761.77,2359.76,26.87,647150.64,39164.94,7495.8,36.19,0.01,150258.44,629.43,0.08,6979.95,773.71,269.95,61,88.06,1031.25,152.26,49.22,119.92,202.85,40.58,185.84,448.43,103.08,232.04,60.4,65.2,162.59,307.5,4.71,4.8,181.37,245.84,36.9,56.13
"185",31.55,511.51,4270.38,525.71,1.64,4733.41,736.47,9.17,331540.97,19179.56,1087.46,10.24,4.95,71806.22,236.88,0.18,8931.04,989.41,379.57,48.09,250.42,71.55,41.12,0.01,0.01,373.5,82.38,39.49,320.96,636.93,70.03,981.63,208.38,56.16,769.67,0.01,0.01,15.09,308.81,20.22,10.87
"186",97.25,195616.68,750943.65,838472.26,419.05,1592957.06,1118985.35,5914.92,460.3,0.01,5732156.92,28590.49,546.75,536,305.12,97.75,0.03,0.29,0.17,0.2,170.23,0,0,143.34,6.85,275.18,52.61,372.75,0,0.01,0,0.01,0.01,0.01,0,6.86,0.01,843.22,547.37,0.01,0.01
"187",48.52,14070.72,392077.24,22221.24,23.34,265431.06,166613.25,359.6,578631.11,87350.74,546336.52,1111.67,281.44,420131.76,1469.39,26.35,151.24,1146.18,642.38,189.9,324.18,2803.59,1442,589.69,535.54,1810.3,40.73,409.24,1375.99,191.14,209.39,116,155.94,221.36,556.43,9.02,88.46,1133.09,1104.5,465.56,247.45
"188",71.8,79417.62,596457.81,9389.54,6.48,23292.97,291819.14,1514.48,958025.81,230152.18,30876.01,222.58,138.58,952018.1,3733.5,3.61,0.03,755.58,182.61,26.33,173.7,700.4,214.55,327.43,303.89,701.72,5.63,301.2,672.74,69.14,283.27,9.46,5.78,391.77,745.69,64.85,28.61,867.3,769.18,0.01,398.83
"189",55.84,62852.61,200752.02,287716.48,9.24,661353.74,139056.17,995.3,9158.57,6306.99,1181438.22,4660.36,78.17,15997.86,32.93,16.57,0.02,4.51,0.24,0.26,55.97,0,0,42.26,20.07,525.32,17.55,60.49,0,0.01,0,0.01,0.01,0.01,0,0.01,0.01,143.55,347.66,0.01,0.01
"190",1698.93,18387.71,702598.52,15224.23,15.76,207016.97,311972.12,203834.76,556681.77,5600.28,159923.31,39489.59,11363.32,143273.96,115971.34,182.84,0.1,1847.95,1885.76,347.22,286.36,3655.02,1482.22,375.48,2597.04,591.12,1509.24,1310.26,2438.46,507.96,1205,204.36,246.32,817.54,1128.2,128.58,626.54,827.2,1549.92,136.66,915.35
"191",27.24,304.38,21009.64,161.69,9.85,15880.45,3691.88,2913.74,967920.18,7094.03,5412.59,3483.1,28.13,124205.99,119013.04,11.07,473.42,3215.93,2552.37,301.03,219.1,280.52,33.61,181.04,287.29,341.21,8.48,40.98,469.02,149.1,280.34,142.48,264.62,390.4,356.42,149.07,485.95,149.87,51.77,626.33,622.74
"192",2316.73,6123.89,501271.25,7854.9,43.76,165237.98,84743.6,124740.82,726971.15,8794.94,41200.41,38517.72,2678.26,145400.34,122501.35,204.41,0.05,1704,2076.47,481.63,476.4,107.53,800.86,125.15,143.24,550.8,1242.15,1055.19,278.06,105.04,152.18,103.1,353.91,146.27,604.76,0.01,83.16,1013.51,1554.29,180.92,630.54
"193",2102.4,513.16,341478.43,1400.57,94.94,29394.28,9087.24,84643.7,1308083.31,10679.06,14649.75,10087.47,6123.97,245980.32,204335.66,691.87,1361.69,4655.33,3351.2,635.35,586.67,935.55,638.23,825.92,2920.88,1988.52,545.7,1152.81,2771.22,967.33,2947.85,1419.53,691.48,1030.79,1916.72,475.57,769.59,1065.62,1876.52,77.39,1569.16
"194",810.28,70.45,334227.15,200.15,32.18,4137.22,880.37,17738.23,403602.75,3755.39,2773.57,1163.57,23.53,116031.13,81250.44,9.25,385.85,1549.42,915.99,38.89,171,20.9,25.04,217.01,901.61,288.92,169.69,685.19,1750.35,139.38,1990.25,324.11,567.34,1374.35,3123.85,395.03,171.7,607.03,957.68,95.22,563.63
"195",47.02,114.93,16208.16,58.57,21.73,8477.91,1589.21,1509.75,811523.87,3192.75,1917.51,1194.27,0.08,71234.96,59029.73,1.98,0.08,2614.63,1130.31,46.92,395.2,670.21,233.86,265.51,344.27,547.18,22.94,191.24,852.42,219.38,497.08,103.2,127.83,414.82,1704.41,156.3,159.29,545.74,1225.5,284.07,341.32
"196",337.87,295.41,5351.26,182.79,2.42,5509.43,2167.01,1944.26,713030.16,8981.18,3283.61,2051.17,48.17,135434.23,145815.52,32.6,1577.09,3523.37,2948.87,676.14,69.58,10.4,71.91,146.14,668.73,378.35,28.86,13.83,3596.43,699.29,4375.77,1062.78,1063.84,430.21,512.11,499.66,980.81,204.48,369.38,1214.82,1293.2
"197",0.1,0.03,16.54,0.21,0.04,3.43,1.8,2.83,1436.19,12.44,0.05,0.07,2.66,17.64,19.78,0.06,0.02,0.03,0.04,0.91,0.01,0,0,0.01,0.01,0,0.01,0.01,0,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0,73.74,0.01,0.01
"198",1291.66,182.35,330694.49,1841.23,17.85,69956.1,3235.83,96780.69,592362.85,5307.43,42981.97,45558.15,450.74,158053.21,104406.82,102.72,0.02,4999.11,4065.12,1736.36,281.91,6747.36,3536.36,179.31,16.51,497.71,255.67,944.58,217.39,426.61,452.25,300.75,332.49,2787.68,8997.92,10.96,45.04,1162.26,1834.58,650.95,870.93
"199",2518.52,19693.16,637231.77,724.83,2.78,77188.23,214556.6,122321.78,1040863.27,12148.09,16874.49,12231.94,5088.05,241361.76,239853.22,37.74,803.81,8119.52,3754.95,1159.36,366.35,321.46,779.58,510.43,69.26,909.55,1694.36,1697.73,473.61,257.91,557.21,224.99,923.57,1646.99,2705.61,136.82,242.35,1166.76,2976.75,83.22,2452.24
"200",1010.37,1273.17,439519.32,290.59,26.31,13278.92,56464.01,120785.5,806196.61,10694.08,12167.13,4899.3,1225.04,291392.63,190363.78,27.39,899.81,4569.01,4020.4,762.52,354.13,1333.49,2359.56,454.61,61.94,718.03,1096.53,1086.86,104.61,47.85,23.61,0.01,675.43,915.3,630.66,109,1243.67,1017.46,1204.36,101.83,1794.91
"201",752.73,425.79,258112.47,150.77,12.26,6565.74,8497.05,43021.82,478948.55,2849.38,2129.14,960.32,319.75,69264.48,53044.79,18.88,0.04,1302.61,1013.53,110.91,225.24,1162.37,588.04,349.02,7.07,545.5,374.67,730.74,25.18,6.54,16.24,0.01,160.66,619.68,688.98,52.64,225.23,617.84,816.53,0.01,288.17
"202",910.93,473.07,222245.07,547.63,20.18,23391.09,8903.27,9399.32,1127637.97,16803.1,22460.17,10195.93,37.13,425023.22,305995.22,27.27,1291.3,10983.36,8456.02,1298.43,684.97,872.12,2536.39,916.79,159.23,1370.84,220.88,1401.23,457.65,135.72,201.39,110.11,1415.17,2073.6,2740.98,370.57,2613.45,1750.6,3463.79,3107.86,4185.66
"203",523.98,366.58,13252.45,340.3,9.76,11970.41,4556.28,4248.2,1005729.11,12236.77,12744.1,5951.64,27.9,306765.66,232060.31,39.08,1944.82,3167.03,3268.62,421.96,0.01,17.72,180.46,387.02,108.78,508.88,11.87,11.9,471.01,104.17,436.74,222.2,427.9,426.35,386.57,198.94,801.31,410.73,521.29,277.78,1489.46
"204",6.36,0.03,614.69,0.15,5.44,524.99,151.49,50.88,33.82,0.1,67.45,17.54,0.08,83.56,0.1,0.08,15145.76,0.96,0.76,8.72,10.56,0,0,0.01,0.01,0,0.01,0.01,0,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0,0,0.01,8.11
"205",137.54,648.99,44583.78,184.21,7.01,33272.02,7015.99,4989.52,1586576.33,4026.8,17865.11,5823.14,191.53,312433.2,178492.32,18.41,301.55,3280.05,2095.29,940.33,0.01,7366.25,4917.56,210,11.92,502.48,65.05,123.82,57.56,93.44,64.71,54.25,289.77,656.61,1965.74,13.25,27.17,669.58,500.75,263.41,814.74
"206",92.89,278.5,43195.56,95.13,6.09,8788.78,3835.77,1137.81,782861.42,2371.76,4347.57,1499.51,88.57,119782.94,63647.85,16.34,0.08,1405.14,1501.37,557.34,8.41,413.84,1035.4,99.72,43.03,287.9,12.78,37.07,222.19,97.02,206.2,49.97,407.89,287.52,760.45,25.22,168.31,249.93,530.57,220.63,272.84
"207",121.51,319.85,25385.04,87.05,56.55,5071.18,2697.89,1044.43,560967.76,1476.88,2576.25,856.49,198.91,65283.45,37706.5,14.98,3194.67,229.06,126.42,7.3,0.01,945.06,1259.29,7.54,0.01,71.33,16.7,26.43,9.75,0.01,0,8.18,0.01,8.57,89.78,9.26,0.01,243.11,674.01,0.01,9.6
"208",693.33,4150.72,893226.19,14442.08,0.06,1758266.48,382476.98,152507.58,163611.91,366.19,1254540.17,499912.76,4823.23,59155.38,19374.5,153.58,0.03,202.14,0.58,0.59,205.28,1492.99,707.29,104.99,0.01,169.36,288.11,247.17,29.91,0.01,0,0.01,0.01,13.72,113.93,5.73,0.01,439.2,683.25,0.01,16.01
"209",712.95,3057.6,731635.13,12505.57,0.37,1557051.31,297324.41,102165.5,284252.99,1125.71,895505.49,359887.27,3924.53,130672.41,49475.71,326.94,0.1,448.12,84.97,0.01,185.75,1774.74,750.58,207.68,19.03,446.63,169.93,209.93,86.13,0.01,15.08,0.01,0.01,175.11,279.21,10.7,7.25,413.24,559.96,69.08,132.23
"210",7.8,55.84,11029.4,91.75,60.13,12490.23,1818.57,1024.79,1086748.36,2991.47,7249.14,2361.86,224.32,183332.14,98084.99,44.78,1002.36,822.64,2653.98,99,157.02,2463.62,3877.56,101.8,0.01,370.14,160.15,162.92,48.71,9.96,12.04,35.82,733.05,69.28,172.39,0.01,329.68,422.94,921.12,1437.22,198.62
"211",214.15,1766.06,11098.2,7511.9,28.37,39209.13,1769.39,1055.17,2228.62,19.54,10647.21,4659.28,47.67,505.58,341.68,212.77,12402.34,14.64,0.8,0.01,0.01,0,0,0.01,0.01,144.81,22.74,20.03,0,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0,12.77,0.01,0.01
"212",1089.92,4254.31,1020583.83,20063.82,44.64,2052559.55,414203.53,192071.47,10197.33,0.06,1248376.08,567345,7138.68,2200.93,975.07,411.1,5.43,8.56,0.71,0.51,205.61,0,5.98,152.14,0.01,481.11,372.75,333.96,0,0.01,0,0.01,0.01,0.01,0,0.01,0.01,456.99,813.99,0.01,0.01
"213",2026.75,8926.75,1387079.41,36127.94,138.17,3388110.55,660316.3,330032.6,262132.53,337.31,2093242.91,1076968.43,15647.28,66873.24,36444.44,641.39,233.81,158.98,58.04,12.96,459.49,298.68,1557.9,223.08,69.68,923.78,548.93,446.32,212.1,6.64,13.24,0.01,10.15,0.01,212.91,10.19,7.34,845.5,1676.25,0.01,8.36
"214",1008.36,2646.42,31040.74,4435.55,51.94,22428.08,10267.22,47210.68,100525.98,2451.22,29470.49,25434.51,3684.76,21615.21,12871.37,243.56,502.9,2852.22,2804.28,1294.82,110.61,259.43,1450.25,182.17,20.14,567.6,201.39,174.26,314.11,263.67,109.64,51.84,528.9,281.09,1202.07,12.25,466.76,651.21,1008.19,510.12,646.95
"215",0.02,0,27.12,58.05,1.01,224.48,8.99,2.54,2329.2,677.6,78.32,25.82,0.04,461.35,1234.08,0.94,0.05,0.32,0.42,0.08,0.01,0,0,0.01,0.01,0,16.03,0.01,0,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0,0,0.01,0.01
"216",54.8,113.86,16518.61,75.79,26.59,11969.27,3088.16,1929.71,1257661.66,2323.55,8932.51,2463.35,256.84,280817.73,118775.93,23.52,1220.99,262.78,480.54,0.39,8.8,192.56,156.7,92.96,123.54,281.77,13.23,8.18,552.96,108.46,282.27,49.51,5.02,4.83,0,14.56,24,173.11,433.14,507.44,39.42
"217",883.43,1942.86,484894.4,11855.09,0.01,1326305.63,115154.01,68488.11,17993.63,108.7,423987.63,173310.6,1224.34,1896.69,1111.26,102.98,18263.72,7.1,0.23,0.32,80.01,0,5.41,43.86,0.01,339.31,134.81,179.47,0,0.01,0,0.01,0.01,0.01,0,0.01,0.01,140.92,454.95,0.01,0.01
"218",224.55,0.04,722.66,0.02,0.08,82.2,44.37,76.95,60335.48,1217.54,22.83,11.33,0.01,2657.83,10244.51,0.22,68.94,155.41,148.86,0.12,0.01,0,0,0.01,55.45,144.31,7.42,0.01,407.67,264.45,307.51,252.16,42.8,9.56,11.08,0.01,0.01,27.58,10.37,38.82,41.33
